Ingredient,Total Quantity (grams)
?duja Salami,3820
Alfredo Sauce,1205
Anchovies,2450
Artichokes,10040
Arugula,830
Asiago Cheese,5910
Bacon,27510
Barbecue Sauce,2195
Barbecued Chicken,6280
Beef Chuck Roast,12850
Blue Cheese,1380
Brie Carre Cheese,1680
Calabrese Salami,11850
Capocollo,59250
Caramelized Onions,896
Chicken,80950
Chipotle Sauce,6860
Chorizo Sausage,4850
Cilantro,3430
Coarse Sicilian Salami,12560
Corn,23000
Eggplant,2520
Feta Cheese,10620
Fontina Cheese,5470
Friggitello Peppers,955
Garlic,23650
Genoa Salami,8910
Goat Cheese,13020
Gorgonzola Piccante Cheese,5580
Gouda Cheese,4280
Green Olives,4190
Green Peppers,6320
Italian Sausage,970
Jalapeno Peppers,5570
Kalamata Olives,3215
Luganega Sausage,6280
Mozzarella Cheese,11000
Mushrooms,24680
Onions,3140
Oregano,1320
Pancetta,5730
Parmigiano Reggiano Cheese,13260
Pears,560
Peperoncini verdi,1935
Pepperoni,23790
Pesto Sauce,4120
Pineapple,10950
Plum Tomatoes,3320
Prosciutto,1680
Prosciutto di San Daniele,1990
Provolone Cheese,1380
Red Onions,65860
Red Peppers,14295
Ricotta Cheese,6975
Romano Cheese,1380
Sliced Ham,2900
Smoked Gouda Cheese,1380
Soppressata Salami,5950
Spinach,24285
Sun-dried Tomatoes,1505
Thai Sweet Chilli Sauce,4980
Thyme,280
Tomatoes,47510
Zucchini,3880
